summary,batch_key,n_records,oracle_majority_action,oracle_agreement,within_batch_response_var,origin_majority,family_purity
legacy_cell,forecast|snrHigh|full,52,v_stl,0.21153846153846154,7.698300114029841,S_trend,0.25
legacy_cell,forecast|snrHigh|miss,182,v_stl,0.29120879120879123,9.074750841840212,S_trend,0.3131868131868132
legacy_cell,forecast|snrLow|full,67,f0_median_w25,0.3283582089552239,2.860355187270212,S_ar,0.22388059701492538
legacy_cell,forecast|snrLow|miss,371,f0_median_w25,0.16981132075471697,5.335745522502951,S_intermittent,0.18867924528301888
P0_kmeans,c0,163,f0_median_w25,0.20245398773006135,0.09840132251207567,S_ar,0.3496932515337423
P0_kmeans,c1,132,f0_median_w15,0.38636363636363635,10.929409767778612,S_both,0.5075757575757576
P0_kmeans,c2,93,v_stl,0.3763440860215054,0.1349116906369197,S_multiseason,0.5053763440860215
P0_kmeans,c3,61,f0_median_w25,0.4262295081967213,11.54395392179639,S_regime,0.8524590163934426
P0_kmeans,c4,21,v_none,0.23809523809523808,1.816088753024132,S_intermittent,0.8571428571428571
P0_kmeans,c5,73,f0_median_w25,0.2465753424657534,0.03362074834473754,S_hetero,0.3835616438356164
P0_kmeans,c6,73,v_stl,0.4657534246575342,0.1317106314821082,S_season,0.5205479452054794
P0_kmeans,c7,56,v_stl,0.39285714285714285,8.050221287864028,S_trend,0.5178571428571429
P1b_kmeans,c0,146,v_stl,0.2465753424657534,11.794802563776027,S_season,0.23972602739726026
P1b_kmeans,c1,96,v_winsor_savgol,0.25,10.243845954102678,S_season,0.2708333333333333
P1b_kmeans,c2,117,f0_median_w25,0.19658119658119658,0.04159332778092732,S_ar,0.37606837606837606
P1b_kmeans,c3,42,f0_median_w15,0.35714285714285715,7.0964964909833,S_both,0.3333333333333333
P1b_kmeans,c4,97,f0_median_w15,0.30927835051546393,7.778335442001814,S_trend,0.30927835051546393
P1b_kmeans,c5,72,f0_median_w25,0.2361111111111111,0.015041203888382199,S_hetero,0.3888888888888889
P1b_kmeans,c6,41,v_wavelet,0.17073170731707318,0.12799511169420685,S_hetero,0.34146341463414637
P1b_kmeans,c7,61,v_stl,0.4262295081967213,6.59075359582508,S_season,0.2459016393442623
